ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Price
1,DRV8825,U$1,DRV8825,1,,,,,
2,B4B-XH-A,PUMP,B4B-XH-A,1,,,,,
3,BH-00161,"SD,LED,PUMP_CTL,VALVE_CTL",SHDR16W56P254_2X8_2782X850X950,4,,,,,
4,KH-BNC75-3511,"LICK_OUT,LICK_IN",LINX_CONBNC002,2,,,,,
5,C337062,"R1,R2,R4,R5,R6",RESAD724W46L381D178B,5,,,,,
6,KH-2.54PH180-2X3P-L8.9,J3,61200621621,1,,,,,
7,ULN2003ADR,"U5,U6",D0016A_N,2,,,,,
8,SN74HCT32DR,"U3,U4",D14,2,,,,,
9,1727010,"REV_BTN,FILL_VALVE_BTN,FLUSH_BTN,VALVE1,VALVE2,VALVE3,VALVE4,VALVE5,VALVE6,VALVE7,VALVE8,FILL_VALVE",1727010,12,,,,,
10,HC-RJ45-5JA-1-4,"MOD1,MOD2,MOD3,MOD4,MOD5,MOD6,MOD7,MOD8",HC-RJ45-5JA-1-4,8,,,,,
11,PJ-3420-A-SMT,AUDIO,PJ-3420-A-SMT,1,,,,,
12,DC-005-2.5A-2.0,POWER,DC-005-2.5A-2.0,1,,,,,
13,X6511WVS-13H-C60D48R2,U$12,X6511WVS-13H-C60D48R2,1,,,,,
14,50TZV100M8X10.5,C2,CAPAE830X1050N,1,,,,,